Country Name,East Asia & Pacific,Latin America & Caribbean,North America,Middle East & North Africa,Sub-Saharan Africa,Europe & Central Asia
2005,73.43939969,72.71463922,77.7460653,70.63093079,53.46219505,74.19462898
2006,73.79188734,72.92421268,77.96879427,70.84028814,54.21330107,74.69319352
2007,74.03488397,73.06568532,78.23960735,71.18035916,54.84902854,75.0510586
2008,74.00482415,73.28782721,78.30377015,71.46639113,55.45071261,75.31255979
2009,74.53250904,73.49195702,78.65485588,71.81980691,56.21961307,75.7015115
2010,74.73436579,73.38564296,78.8171965,72.10638332,56.84736569,75.98633734
2011,74.97135414,73.87154444,78.92397044,72.37228523,57.55861069,76.45856153
2012,75.22981361,74.0973427,79.03288391,72.28467802,58.14101325,76.64319985
2013,75.47911626,74.34648539,79.04171276,72.34424267,58.668043,76.98604935
2014,75.73130511,74.5506477,79.13628432,72.62386339,59.1426582,77.29645079
2015,75.94881673,74.61196958,79.00364571,72.88951608,59.5629817,77.23132323
2016,76.13792375,74.57923288,78.87972427,73.15252184,60.06902467,77.56514697
2017,76.21239638,74.7334935,78.87247617,73.60974285,60.47713846,77.77863318
2018,76.59417271,74.85149878,78.9657813,73.81151713,60.86302754,77.91145458
2019,76.79777484,75.03834947,79.14171238,73.95911501,61.24429052,78.18624804
2020,76.76194199,73.03847417,77.46351685,72.94976833,60.84889442,76.95919096
2021,76.39391116,72.14743483,76.97672317,72.74592079,60.24174346,76.63038142